acctnum,gender,first,last,book_,nonbook_,total_,purch,child,youth,cook,do_it,refernce,art,geog,subscribe
19712,F,3,1,28,35,63,2,1,0,0,0,0,1,0,0
19713,M/NB,21,13,28,101,129,2,0,0,0,0,1,1,0,0
19714,F,5,1,28,232,260,2,1,0,0,0,0,1,0,0
19715,M/NB,21,15,28,75,103,2,0,0,1,0,0,1,0,0
19716,F,37,21,36,138,174,3,0,0,1,2,0,0,0,0
19717,M/NB,35,15,48,36,84,4,1,0,0,1,1,1,0,0
19718,F,13,13,15,4,19,1,0,0,1,0,0,0,0,0
19719,F,11,3,26,303,329,2,0,1,0,1,0,0,0,0
19720,F,13,13,15,287,302,1,0,0,0,0,1,0,0,0
19721,M/NB,13,9,29,17,46,2,1,0,0,0,0,0,1,0
19722,F,11,11,15,172,187,1,0,0,0,0,1,0,0,0
19723,M/NB,27,15,69,218,287,6,0,1,2,2,0,1,0,0
19724,F,17,9,28,245,273,2,1,0,0,0,0,1,0,0
19725,M/NB,9,5,25,79,104,2,1,0,1,0,0,0,0,0
19726,F,17,9,29,6,35,2,0,0,0,0,0,0,2,0
19727,F,49,13,146,275,421,12,1,1,1,1,3,2,3,0
19728,M/NB,5,5,15,218,233,1,0,0,1,0,0,0,0,0
19729,M/NB,15,15,15,52,67,1,0,0,0,0,0,1,0,0
19730,M/NB,33,7,73,144,217,6,2,0,1,0,1,0,2,0
19731,F,41,5,97,239,336,8,2,0,1,1,1,1,2,0
19732,F,49,27,84,312,396,7,1,0,2,0,2,1,1,0
19733,M/NB,23,9,46,128,174,4,1,0,0,2,1,0,0,0
19734,M/NB,25,13,74,237,311,6,0,0,2,1,1,2,0,0
19735,F,21,21,15,248,263,1,1,0,0,0,0,0,0,0
19736,M/NB,33,31,24,175,199,2,0,2,0,0,0,0,0,0
19737,F,9,9,15,255,270,1,1,0,0,0,0,0,0,0
19738,F,35,15,80,272,352,7,4,1,0,1,0,0,1,0
19739,F,41,13,62,123,185,5,0,1,2,0,0,0,2,0
19740,F,31,31,15,104,119,1,1,0,0,0,0,0,0,0
19741,F,5,5,15,140,155,1,0,0,1,0,0,0,0,0
19742,F,17,13,25,220,245,2,0,0,2,0,0,0,0,0
19743,F,37,9,86,235,321,8,2,1,3,0,1,0,1,0
19744,F,37,29,25,45,70,2,1,0,1,0,0,0,0,0
19745,F,7,5,25,113,138,2,0,1,1,0,0,0,0,0
19746,F,43,35,42,217,259,4,1,1,1,0,1,0,0,0
19747,M/NB,59,29,103,202,305,9,1,3,1,1,0,1,2,0
19748,F,39,3,124,95,219,11,3,1,2,1,1,1,2,0
19749,F,25,1,75,249,324,6,0,0,3,0,0,2,1,0
19750,F,13,9,29,217,246,2,0,0,0,0,0,0,2,0
19751,M/NB,63,15,129,99,228,12,3,1,3,3,1,0,1,0
19752,F,17,9,28,35,63,2,1,0,0,0,0,1,0,0
19753,F,13,7,29,15,44,2,0,0,0,1,0,0,1,0
19754,F,25,25,15,48,63,1,1,0,0,0,0,0,0,0
19755,F,27,13,80,43,123,7,1,2,2,0,0,0,2,0
19756,F,9,9,15,137,152,1,0,0,1,0,0,0,0,0
19757,F,31,21,52,148,200,5,1,1,3,0,0,0,0,0
19758,M/NB,69,15,125,258,383,11,3,0,1,2,0,5,0,0
19759,M/NB,19,13,27,222,249,2,1,0,0,0,1,0,0,0
19760,F,11,11,15,33,48,1,0,0,0,0,1,0,0,0
19761,F,5,5,15,225,240,1,0,0,0,0,0,1,0,1
19762,F,9,9,15,211,226,1,1,0,0,0,0,0,0,0
19763,M/NB,25,7,39,269,308,3,0,0,1,0,0,0,2,0
19764,F,13,7,27,116,143,2,0,1,0,0,1,0,0,0
19765,F,15,15,15,170,185,1,0,0,0,0,0,1,0,0
19766,F,35,1,68,48,116,6,2,1,0,0,0,0,3,1
19767,F,33,7,124,87,211,11,2,3,0,1,2,2,1,1
19768,F,13,13,15,17,32,1,0,0,0,1,0,0,0,0
19769,M/NB,43,7,108,234,342,10,2,1,2,3,1,0,1,0
19770,F,9,9,15,241,256,1,0,0,0,1,0,0,0,0
19771,F,23,19,27,147,174,2,1,0,0,0,1,0,0,0
19772,F,15,9,40,288,328,3,0,1,0,1,0,0,1,0
19773,F,13,5,50,11,61,4,1,0,3,0,0,0,0,0
19774,F,69,7,131,266,397,11,4,1,1,0,1,2,2,1
19775,M/NB,17,15,26,76,102,2,1,0,0,1,0,0,0,0
19776,M/NB,41,15,105,289,394,9,1,1,2,1,2,0,2,0
19777,M/NB,23,21,26,161,187,2,0,0,0,2,0,0,0,0
19778,M/NB,55,15,103,193,296,9,2,1,2,1,1,0,2,0
19779,M/NB,31,3,58,291,349,5,2,0,1,1,0,0,1,0
19780,M/NB,69,15,117,52,169,11,2,2,3,2,1,0,1,0
19781,M/NB,41,27,44,125,169,4,1,0,2,1,0,0,0,0
19782,F,13,13,15,139,154,1,1,0,0,0,0,0,0,0
19783,F,17,13,25,87,112,2,0,0,2,0,0,0,0,0
19784,F,9,1,26,13,39,2,1,0,0,1,0,0,0,0
19785,M/NB,15,15,15,157,172,1,0,0,0,0,0,1,0,0
19786,F,23,21,27,17,44,2,0,0,1,0,1,0,0,0
19787,M/NB,25,1,73,97,170,6,1,2,0,0,0,1,2,1
19788,M/NB,11,5,29,131,160,2,0,0,1,0,0,0,1,0
19789,F,11,11,15,284,299,1,0,0,0,0,0,1,0,0
19790,F,11,11,15,25,40,1,1,0,0,0,0,0,0,0
19791,F,33,29,25,112,137,2,1,0,1,0,0,0,0,0
19792,M/NB,11,11,15,166,181,1,0,0,0,0,0,0,1,1
19793,F,13,13,15,273,288,1,0,0,0,0,0,1,0,0
19794,M/NB,25,3,49,76,125,4,2,0,0,0,0,2,0,1
19795,M/NB,27,27,15,63,78,1,0,0,0,1,0,0,0,0
19796,F,13,13,15,58,73,1,1,0,0,0,0,0,0,0
19797,F,17,13,29,3,32,2,0,0,1,0,0,0,1,0
19798,F,3,3,15,56,71,1,0,0,0,0,0,1,0,0
19799,F,45,11,108,247,355,9,1,0,1,2,1,1,3,1
19800,M/NB,7,7,15,228,243,1,0,0,0,1,0,0,0,0
19801,F,77,13,128,253,381,11,5,0,2,0,0,2,2,0
19802,F,45,9,98,116,214,9,2,2,2,1,0,2,0,0
19803,F,61,11,99,283,382,9,3,1,2,0,1,1,1,1
19804,F,7,7,15,230,245,1,0,0,0,0,1,0,0,0
19805,M/NB,13,11,27,107,134,2,1,0,0,0,1,0,0,0
19806,M/NB,5,3,26,192,218,2,0,0,1,1,0,0,0,0
19807,F,1,1,15,223,238,1,0,0,1,0,0,0,0,0
19808,F,35,11,51,194,245,5,3,0,2,0,0,0,0,0
19809,M/NB,35,7,70,181,251,6,2,0,0,2,1,1,0,0
19810,M/NB,11,11,15,116,131,1,0,0,0,1,0,0,0,0
19811,F,17,9,26,86,112,2,0,1,0,1,0,0,0,0
19812,F,1,1,15,230,245,1,0,0,0,0,0,0,1,0
19813,F,27,7,48,311,359,4,0,1,1,0,0,0,2,0
19814,M/NB,5,5,15,87,102,1,0,0,0,0,1,0,0,1
19815,M/NB,27,15,46,61,107,4,1,0,1,1,1,0,0,0
19816,M/NB,9,1,28,168,196,2,0,0,0,0,1,1,0,0
19817,F,31,23,29,56,85,2,0,0,1,0,0,0,1,0
19818,F,9,9,15,235,250,1,1,0,0,0,0,0,0,0
19819,F,1,1,15,96,111,1,0,0,0,0,0,1,0,0
19820,M/NB,23,15,27,291,318,2,1,0,0,0,1,0,0,0
19821,M/NB,15,7,29,201,230,2,0,0,1,0,0,0,1,0
19822,F,9,5,29,262,291,2,0,0,0,0,0,0,2,1
19823,F,79,19,115,85,200,10,1,2,2,1,0,0,4,0
19824,M/NB,1,1,15,162,177,1,0,0,0,0,0,0,1,0
19825,M/NB,55,9,114,344,458,11,4,2,3,0,0,1,1,0
19826,F,9,9,15,150,165,1,0,0,0,1,0,0,0,0
19827,F,3,3,15,68,83,1,0,0,0,1,0,0,0,0
19828,M/NB,9,7,29,261,290,2,0,0,0,0,0,1,1,0
19829,M/NB,21,11,37,282,319,3,0,0,1,0,2,0,0,1
19830,F,11,9,26,259,285,2,1,0,0,1,0,0,0,0
19831,F,13,7,27,249,276,2,0,1,0,0,1,0,0,0
19832,F,3,1,25,102,127,2,0,0,2,0,0,0,0,0
19833,F,5,1,28,260,288,2,0,0,1,0,0,1,0,0
19834,F,35,15,117,36,153,10,2,0,4,0,2,1,1,0
19835,F,5,1,28,36,64,2,0,0,1,0,0,1,0,0
19836,F,7,7,15,225,240,1,1,0,0,0,0,0,0,0
19837,F,25,13,64,23,87,5,0,0,1,0,1,2,1,0
19838,F,9,5,29,174,203,2,0,0,0,0,0,1,1,0
19839,M/NB,11,11,15,288,303,1,0,0,0,0,1,0,0,1
19840,F,9,1,24,147,171,2,1,1,0,0,0,0,0,0
19841,F,13,13,15,267,282,1,0,0,1,0,0,0,0,0
19842,F,11,11,15,159,174,1,1,0,0,0,0,0,0,0
19843,F,9,9,15,42,57,1,0,0,0,1,0,0,0,0
19844,F,3,1,29,279,308,2,0,0,0,0,0,0,2,0
19845,F,69,25,90,210,300,8,1,3,0,2,0,1,1,0
19846,M/NB,59,29,79,252,331,7,1,1,1,1,0,3,0,0
19847,F,5,5,15,222,237,1,1,0,0,0,0,0,0,0
19848,M/NB,33,27,25,303,328,2,1,0,1,0,0,0,0,0
19849,F,27,19,29,274,303,2,0,0,0,0,0,0,2,0
19850,F,43,11,114,112,226,10,1,1,4,1,0,1,2,0
19851,F,13,13,15,197,212,1,0,1,0,0,0,0,0,0
19852,F,41,9,81,82,163,8,3,2,1,2,0,0,0,0
19853,M/NB,11,11,15,56,71,1,0,0,0,0,0,0,1,0
19854,F,35,3,78,51,129,7,3,0,1,0,2,1,0,1
19855,M/NB,3,1,29,235,264,2,0,0,1,0,0,0,1,0
19856,M/NB,15,15,15,212,227,1,0,0,0,0,0,1,0,0
19857,F,47,19,74,260,334,7,3,1,2,0,0,0,1,0
19858,M/NB,25,19,25,145,170,2,0,1,1,0,0,0,0,0
19859,F,79,15,139,328,467,12,4,2,2,0,1,0,3,0
19860,F,21,1,91,52,143,8,1,2,1,2,0,1,1,0
19861,F,13,13,15,211,226,1,0,0,1,0,0,0,0,0
19862,F,23,9,58,254,312,5,4,0,0,0,1,0,0,0
19863,M/NB,27,11,61,281,342,6,3,1,1,1,0,0,0,0
19864,F,37,19,48,178,226,4,0,1,1,0,0,1,1,0
19865,F,15,15,15,50,65,1,0,0,0,0,0,1,0,0
19866,F,11,11,15,137,152,1,0,0,1,0,0,0,0,0
19867,M/NB,33,25,25,213,238,2,1,0,1,0,0,0,0,0
19868,F,19,19,15,277,292,1,0,0,0,0,1,0,0,0
19869,F,37,9,82,250,332,7,1,0,3,1,0,0,2,0
19870,F,43,29,84,219,303,7,1,0,3,0,0,1,2,0
19871,F,43,27,50,90,140,4,0,0,1,0,1,1,1,0
19872,F,13,9,26,67,93,2,0,0,1,1,0,0,0,0
19873,F,41,9,88,271,359,8,3,1,1,1,0,1,1,0
19874,F,67,15,141,124,265,12,2,1,4,0,1,2,2,0
19875,F,9,9,15,26,41,1,0,0,0,0,0,1,0,0
19876,M/NB,31,23,50,217,267,4,0,0,1,1,0,0,2,0
19877,M/NB,53,25,94,293,387,8,2,1,1,1,0,1,2,0
19878,F,13,13,15,30,45,1,1,0,0,0,0,0,0,0
19879,F,15,7,37,80,117,3,0,0,2,0,1,0,0,0
19880,M/NB,27,5,50,82,132,4,0,0,1,2,0,0,1,0
19881,F,83,25,112,311,423,11,6,2,2,0,1,0,0,0
19882,F,11,7,29,112,141,2,0,0,1,0,0,0,1,0
19883,F,55,25,100,143,243,9,1,2,2,1,0,0,3,0
19884,F,17,11,29,102,131,2,0,1,0,0,0,0,1,0
19885,F,13,13,15,10,25,1,0,0,1,0,0,0,0,0
19886,M/NB,13,13,15,248,263,1,0,0,0,0,0,1,0,1
19887,F,25,21,25,86,111,2,0,1,1,0,0,0,0,0
19888,F,3,1,29,79,108,2,0,0,0,0,1,0,1,0
19889,F,7,7,15,282,297,1,0,0,0,1,0,0,0,0
19890,F,17,15,28,120,148,2,0,1,0,0,0,1,0,0
19891,F,5,5,15,37,52,1,1,0,0,0,0,0,0,0
19892,F,13,13,15,249,264,1,0,0,0,0,0,0,1,0
19893,M/NB,37,13,109,270,379,9,0,1,2,2,1,1,2,0
19894,M/NB,15,11,29,195,224,2,1,0,0,0,0,0,1,0
19895,F,19,19,15,82,97,1,0,1,0,0,0,0,0,0
19896,F,13,13,15,12,27,1,0,0,0,1,0,0,0,0
19897,F,51,29,99,116,215,9,2,1,3,0,0,3,0,0
19898,M/NB,7,7,15,140,155,1,0,0,0,0,0,1,0,0
19899,F,13,13,15,219,234,1,0,0,0,0,0,1,0,0
19900,F,57,29,91,279,370,8,1,2,1,2,0,1,1,0
19901,F,13,13,15,84,99,1,0,0,1,0,0,0,0,0
19902,M/NB,3,3,15,48,63,1,0,0,0,1,0,0,0,0
19903,M/NB,5,3,27,240,267,2,0,0,1,0,1,0,0,0
19904,F,3,3,15,254,269,1,0,0,1,0,0,0,0,0
19905,F,5,5,15,151,166,1,0,0,0,1,0,0,0,0
19906,M/NB,67,7,110,144,254,10,0,3,3,2,1,1,0,0
19907,F,17,9,27,10,37,2,0,1,0,0,1,0,0,0
19908,M/NB,31,11,63,287,350,5,0,0,1,2,0,1,1,0
19909,F,11,9,24,286,310,2,1,1,0,0,0,0,0,0
19910,F,17,11,26,96,122,2,0,0,1,1,0,0,0,0
19911,F,13,9,25,160,185,2,1,0,1,0,0,0,0,0
19912,M/NB,9,9,15,290,305,1,0,0,0,1,0,0,0,0
19913,F,3,3,15,239,254,1,0,1,0,0,0,0,0,0
19914,F,23,23,15,247,262,1,1,0,0,0,0,0,0,0
19915,F,15,11,26,273,299,2,0,0,1,1,0,0,0,0
19916,M/NB,65,9,134,310,444,11,1,0,3,2,0,3,2,1
19917,F,23,15,25,186,211,2,0,0,2,0,0,0,0,0
19918,M/NB,9,3,28,123,151,2,1,0,0,0,0,1,0,1
19919,M/NB,21,15,26,115,141,2,0,0,1,1,0,0,0,0
19920,M/NB,17,17,15,100,115,1,0,0,0,0,0,1,0,0
19921,F,51,13,104,235,339,9,4,0,1,2,0,2,0,0
19922,F,15,11,24,244,268,2,0,2,0,0,0,0,0,0
19923,F,23,23,15,254,269,1,1,0,0,0,0,0,0,0
19924,F,17,9,42,247,289,3,0,0,1,0,0,1,1,1
19925,F,13,13,15,61,76,1,0,0,0,1,0,0,0,0
19926,F,3,3,15,67,82,1,1,0,0,0,0,0,0,0
19927,F,7,3,28,202,230,2,0,0,1,0,0,1,0,0
19928,M/NB,47,15,78,83,161,7,4,0,1,2,0,0,0,0
19929,M/NB,41,23,54,69,123,5,1,2,0,2,0,0,0,0
19930,F,11,11,15,159,174,1,1,0,0,0,0,0,0,0
19931,F,13,9,25,197,222,2,1,0,1,0,0,0,0,0
19932,M/NB,9,5,27,52,79,2,0,0,1,0,1,0,0,0
19933,F,39,33,26,283,309,2,0,1,0,1,0,0,0,0
19934,F,9,9,15,73,88,1,0,0,0,0,0,1,0,0
19935,F,27,23,26,218,244,2,1,0,0,1,0,0,0,0
19936,M/NB,19,15,26,10,36,2,0,1,0,1,0,0,0,0
19937,F,17,13,25,96,121,2,0,0,2,0,0,0,0,0
19938,F,23,3,100,196,296,9,2,1,2,2,1,0,1,0
19939,F,25,23,29,213,242,2,0,0,0,0,0,0,2,0
19940,M/NB,15,9,33,137,170,3,1,1,1,0,0,0,0,0
19941,F,49,13,104,57,161,10,4,2,1,1,1,0,1,0
19942,M/NB,55,23,129,107,236,11,3,1,0,3,2,0,2,0
19943,F,51,11,93,101,194,8,0,3,2,0,1,0,2,0
19944,M/NB,11,11,15,298,313,1,0,0,0,1,0,0,0,0
19945,M/NB,67,15,139,220,359,12,3,0,1,2,0,5,1,0
19946,M/NB,33,5,145,282,427,12,3,0,5,0,1,0,3,0
19947,M/NB,31,19,64,94,158,6,3,0,1,1,1,0,0,0
19948,M/NB,7,7,15,9,24,1,0,0,0,1,0,0,0,0
19949,F,37,7,88,312,400,8,2,0,3,1,1,0,1,0
19950,M/NB,9,5,29,160,189,2,0,0,0,0,1,0,1,1
19951,M/NB,11,11,15,0,15,1,0,0,0,1,0,0,0,0
19952,M/NB,7,7,15,265,280,1,0,0,0,0,1,0,0,0
19953,M/NB,33,15,85,57,142,8,2,0,4,1,0,1,0,0
19954,M/NB,1,1,15,294,309,1,0,0,0,0,0,1,0,1
19955,F,39,11,93,181,274,8,3,0,0,1,2,1,1,0
19956,F,1,1,15,36,51,1,0,0,0,0,0,0,1,0
19957,M/NB,27,5,66,269,335,5,0,0,2,0,0,1,2,1
19958,M/NB,19,11,53,141,194,4,1,0,0,1,0,1,1,0
19959,F,17,15,29,21,50,2,0,0,0,0,0,1,1,0
19960,F,1,1,15,196,211,1,0,1,0,0,0,0,0,0
19961,F,13,9,26,290,316,2,0,0,1,1,0,0,0,0
19962,F,19,15,26,285,311,2,0,0,1,1,0,0,0,0
19963,F,19,15,29,100,129,2,0,1,0,0,0,0,1,0
19964,F,19,19,15,128,143,1,0,0,1,0,0,0,0,0
19965,M/NB,51,11,118,104,222,10,1,1,3,4,0,0,1,0
19966,M/NB,9,3,24,174,198,2,0,2,0,0,0,0,0,0
19967,F,53,15,78,135,213,7,2,0,3,0,0,1,1,0
19968,M/NB,31,3,63,301,364,6,2,1,2,1,0,0,0,0
19969,F,11,5,28,48,76,2,1,0,0,0,0,1,0,0
19970,M/NB,31,9,44,112,156,4,1,1,1,1,0,0,0,0
19971,F,15,15,15,295,310,1,0,0,1,0,0,0,0,0
19972,M/NB,67,21,108,121,229,10,2,1,6,0,0,1,0,0
19973,F,43,9,73,254,327,6,0,1,0,0,4,1,0,0
19974,F,7,3,26,256,282,2,0,0,1,1,0,0,0,1
19975,F,37,9,86,139,225,7,0,0,3,1,1,0,2,0
19976,F,33,25,29,142,171,2,0,0,1,0,0,0,1,0
19977,F,55,27,90,172,262,7,0,1,0,1,1,0,4,0
19978,F,15,15,15,171,186,1,0,0,0,0,0,0,1,0
19979,F,51,9,80,121,201,7,1,1,3,0,0,0,2,0
19980,F,21,21,15,114,129,1,0,0,1,0,0,0,0,0
19981,F,69,21,119,188,307,10,1,0,3,1,2,1,2,0
19982,F,45,31,33,147,180,3,1,0,1,0,0,0,1,0
19983,M/NB,19,13,27,71,98,2,0,0,1,0,1,0,0,0
19984,M/NB,55,23,100,303,403,9,0,2,3,2,1,1,0,0
19985,F,29,13,89,242,331,8,2,0,2,2,2,0,0,0
19986,M/NB,29,7,71,105,176,6,0,0,2,2,2,0,0,0
19987,F,5,5,15,20,35,1,0,0,0,1,0,0,0,0
19988,F,31,7,58,288,346,5,1,2,0,0,1,0,1,0
19989,M/NB,5,3,29,152,181,2,0,0,1,0,0,0,1,0
19990,M/NB,23,15,29,17,46,2,1,0,0,0,0,0,1,0
19991,M/NB,17,1,58,152,210,5,2,0,1,1,0,0,1,0
19992,F,17,13,25,245,270,2,0,0,2,0,0,0,0,0
19993,M/NB,9,3,26,86,112,2,0,0,1,1,0,0,0,0
19994,F,1,1,15,88,103,1,0,1,0,0,0,0,0,0
19995,F,27,27,15,68,83,1,0,0,0,0,0,1,0,0
19996,F,17,17,15,143,158,1,0,0,1,0,0,0,0,0
19997,F,33,13,54,145,199,5,3,0,1,0,0,1,0,0
19998,F,25,3,42,132,174,4,2,1,1,0,0,0,0,0
19999,F,31,25,27,124,151,2,0,0,1,0,1,0,0,0
20000,F,33,15,104,279,383,9,3,0,1,2,0,1,2,0
20001,F,53,15,74,56,130,7,3,0,2,1,1,0,0,0
20002,F,45,11,69,296,365,6,2,2,0,0,0,0,2,0
20003,F,65,5,122,281,403,11,2,2,4,1,0,1,1,0
20004,F,47,11,140,333,473,12,4,0,5,1,1,1,0,0
20005,F,57,33,49,42,91,4,0,0,2,0,2,0,0,0
20006,F,9,7,25,123,148,2,0,1,1,0,0,0,0,0
20007,M/NB,35,35,15,227,242,1,0,0,0,0,0,1,0,0
20008,F,11,11,15,299,314,1,0,0,0,0,0,0,1,0
20009,F,15,11,25,27,52,2,0,0,2,0,0,0,0,0
20010,F,3,3,15,222,237,1,0,0,0,1,0,0,0,0
20011,F,7,7,15,227,242,1,1,0,0,0,0,0,0,1
20012,F,23,17,25,55,80,2,1,0,1,0,0,0,0,0
20013,F,41,15,84,160,244,8,4,0,1,1,2,0,0,0
20014,M/NB,25,13,35,295,330,3,0,1,0,2,0,0,0,0
20015,M/NB,11,5,25,183,208,2,0,0,2,0,0,0,0,1
20016,F,19,13,26,20,46,2,1,0,0,1,0,0,0,0
20017,F,9,9,15,74,89,1,0,0,0,0,0,0,1,0
20018,M/NB,29,3,124,162,286,11,3,1,3,0,0,2,2,1
20019,M/NB,63,31,132,113,245,12,5,1,2,2,0,1,1,0
20020,F,21,21,15,152,167,1,1,0,0,0,0,0,0,0
20021,F,37,25,41,179,220,3,0,0,1,0,1,0,1,0
20022,M/NB,15,15,15,283,298,1,0,0,0,0,0,0,1,0
20023,M/NB,69,11,138,232,370,12,5,1,1,0,1,3,1,1
20024,F,31,23,28,62,90,2,0,0,1,0,0,1,0,0
20025,F,15,11,28,288,316,2,0,0,0,0,0,2,0,0
20026,M/NB,53,11,115,101,216,10,2,1,0,2,1,1,3,0
20027,M/NB,53,1,126,134,260,11,0,3,4,2,0,1,1,0
20028,M/NB,73,15,128,287,415,11,3,0,2,1,3,1,1,0
20029,F,27,11,33,13,46,3,2,0,1,0,0,0,0,0
20030,F,31,25,26,208,234,2,0,0,1,1,0,0,0,0
20031,F,15,7,29,88,117,2,0,0,0,1,0,0,1,0
20032,F,47,25,101,110,211,9,2,0,3,0,2,2,0,0
20033,M/NB,21,9,64,163,227,5,0,0,0,2,1,2,0,0
20034,F,33,11,64,237,301,6,2,1,2,0,1,0,0,0
20035,M/NB,41,13,62,230,292,5,0,1,1,1,1,0,1,0
20036,M/NB,23,15,25,175,200,2,0,1,1,0,0,0,0,0
20037,F,9,3,29,171,200,2,0,0,1,0,0,0,1,0
20038,M/NB,67,3,127,279,406,12,3,2,3,2,1,0,1,0
20039,F,15,15,15,271,286,1,1,0,0,0,0,0,0,0
20040,F,13,13,15,276,291,1,0,0,1,0,0,0,0,0
20041,M/NB,33,19,58,201,259,5,1,0,2,1,0,0,1,0
20042,F,15,3,43,141,184,4,2,0,2,0,0,0,0,0
20043,F,21,21,15,126,141,1,0,1,0,0,0,0,0,0
20044,M/NB,67,25,131,134,265,11,1,0,3,2,3,1,1,0
20045,M/NB,23,1,103,208,311,9,1,1,3,0,2,1,1,1
20046,F,9,9,15,244,259,1,1,0,0,0,0,0,0,0
20047,F,47,5,119,339,458,11,3,1,3,1,1,2,0,0
20048,F,35,29,28,113,141,2,0,0,1,0,0,1,0,0
20049,F,1,1,15,219,234,1,1,0,0,0,0,0,0,0
20050,F,13,13,15,10,25,1,0,0,0,0,0,0,1,0
20051,M/NB,99,33,136,219,355,12,3,2,2,1,0,1,3,0
20052,F,29,9,87,225,312,8,1,2,1,3,0,0,1,0
20053,M/NB,47,13,68,167,235,6,2,0,2,1,0,0,1,0
20054,F,47,27,85,181,266,7,1,0,0,3,0,2,1,0
20055,M/NB,7,1,25,122,147,2,1,0,1,0,0,0,0,0
20056,M/NB,19,13,29,283,312,2,1,0,0,0,0,0,1,1
20057,F,31,15,32,252,284,3,1,1,0,0,0,0,1,0
20058,M/NB,63,29,77,223,300,7,1,2,0,3,0,0,1,0
20059,F,5,1,28,175,203,2,0,1,0,0,0,1,0,1
20060,F,27,27,15,114,129,1,0,0,1,0,0,0,0,0
20061,F,37,1,88,83,171,7,0,0,1,1,1,3,1,1
20062,M/NB,35,31,24,82,106,2,1,1,0,0,0,0,0,0
20063,F,29,29,15,101,116,1,0,1,0,0,0,0,0,0
20064,F,33,29,29,50,79,2,0,0,1,0,0,0,1,0
20065,F,17,15,27,112,139,2,0,0,0,1,1,0,0,0
20066,F,53,31,94,76,170,8,2,1,0,2,1,0,2,0
20067,M/NB,31,13,74,215,289,6,0,0,1,3,0,1,1,0
20068,M/NB,17,17,15,226,241,1,0,0,0,0,0,0,1,0
20069,F,57,27,104,41,145,9,4,1,0,1,1,2,0,1
20070,F,35,13,75,75,150,7,1,1,3,1,1,0,0,0
20071,F,7,7,15,218,233,1,0,0,1,0,0,0,0,0
20072,F,47,11,86,145,231,7,0,2,1,1,0,1,2,0
20073,F,45,15,125,92,217,11,2,2,2,0,0,1,4,1
20074,F,5,1,26,240,266,2,0,0,1,1,0,0,0,0
20075,F,15,13,26,100,126,2,0,0,1,1,0,0,0,0
20076,F,35,13,87,151,238,8,2,1,3,0,0,1,1,0
20077,F,47,7,82,181,263,7,0,1,1,3,1,0,1,0
20078,F,59,7,128,281,409,12,6,2,1,1,0,1,1,1
20079,M/NB,51,15,85,275,360,7,1,0,1,0,2,2,1,0
20080,F,1,1,15,56,71,1,1,0,0,0,0,0,0,0
20081,F,23,9,60,171,231,5,1,2,0,0,0,0,2,0
20082,F,39,15,47,138,185,4,1,1,1,0,0,0,1,0
20083,F,15,15,15,246,261,1,0,0,0,0,1,0,0,0
20084,M/NB,37,13,127,322,449,11,3,2,1,0,1,1,3,1
20085,F,17,13,23,134,157,2,2,0,0,0,0,0,0,0
20086,F,25,5,86,270,356,7,0,0,2,2,1,1,1,0
20087,F,47,9,107,207,314,10,2,2,4,1,1,0,0,0
20088,F,73,3,130,138,268,12,4,3,4,0,1,0,0,0
20089,F,27,5,75,175,250,7,2,0,4,0,0,0,1,0
20090,F,69,9,136,187,323,12,4,2,1,1,2,1,1,0
20091,F,19,15,27,77,104,2,0,0,0,1,1,0,0,0
20092,F,53,11,131,81,212,11,2,0,3,0,1,2,3,1
20093,M/NB,65,9,129,332,461,11,3,0,3,2,0,1,2,0
20094,M/NB,7,7,15,35,50,1,0,1,0,0,0,0,0,0
20095,M/NB,21,15,29,293,322,2,0,1,0,0,0,0,1,0
20096,F,25,13,58,45,103,5,1,0,4,0,0,0,0,0
20097,F,13,9,24,87,111,2,1,1,0,0,0,0,0,0
20098,F,5,5,15,97,112,1,0,0,1,0,0,0,0,0
20099,F,33,29,28,182,210,2,0,1,0,0,0,1,0,0
20100,F,19,15,24,126,150,2,1,1,0,0,0,0,0,0
20101,F,23,3,78,195,273,7,3,1,1,0,0,0,2,0
20102,F,59,11,99,36,135,9,1,2,1,3,1,0,1,0
20103,F,21,15,29,215,244,2,0,0,0,0,0,1,1,0
20104,M/NB,59,13,132,163,295,12,2,0,3,2,4,1,0,0
20105,M/NB,17,9,26,222,248,2,0,1,0,1,0,0,0,0
20106,F,37,31,27,145,172,2,0,0,1,0,1,0,0,0
20107,F,7,5,25,43,68,2,1,0,1,0,0,0,0,0
20108,M/NB,19,7,45,77,122,4,1,1,0,0,0,2,0,1
20109,F,17,17,15,76,91,1,1,0,0,0,0,0,0,0
20110,F,15,11,23,280,303,2,2,0,0,0,0,0,0,0
20111,F,11,7,28,188,216,2,0,0,1,0,0,1,0,0
20112,M/NB,33,17,62,283,345,5,0,1,1,1,1,0,1,0
20113,F,5,1,28,10,38,2,1,0,0,0,0,1,0,0
20114,F,11,5,25,113,138,2,0,0,2,0,0,0,0,0
20115,F,17,11,25,222,247,2,1,0,1,0,0,0,0,0
20116,F,45,23,96,228,324,9,2,1,3,2,0,0,1,0
20117,F,3,1,26,195,221,2,0,0,0,2,0,0,0,0
20118,M/NB,25,3,46,282,328,4,1,0,0,1,1,0,1,0
20119,F,69,27,98,105,203,8,1,0,1,1,0,2,3,0
20120,F,9,9,15,192,207,1,1,0,0,0,0,0,0,0
20121,M/NB,39,27,70,299,369,6,0,1,1,1,2,1,0,0
